AAAAMMJJHH,type
2013-12-22 12:36:49,R
2013-12-23 03:17:59,S
2013-12-23 05:55:33,S
2013-12-26 13:54:22,S
2013-12-27 07:09:20,S
2013-12-27 11:40:42,S
2013-12-29 08:21:13,S
2013-12-30 09:07:10,S
2013-12-30 18:52:01,S
2013-12-30 23:27:34,S
2014-01-04 23:10:15,S
2014-01-06 00:00:17,R
2014-01-07 10:36:42,S
2014-01-08 18:13:00,S
2014-01-08 18:28:23,S
2014-01-08 18:31:09,S
2014-01-08 22:15:46,S
2014-01-09 13:32:44,S
2014-01-09 21:47:48,S
2014-01-10 18:17:15,S
2014-01-11 22:34:00,S
2014-01-14 09:31:15,S
2014-01-14 10:30:52,S
2014-01-14 10:33:43,S
2014-01-15 15:07:40,R
2014-01-18 01:01:57,R
2014-01-18 06:23:14,S
2014-01-20 08:17:54,S
2014-01-20 12:46:34,S
2014-01-20 19:32:00,S
2014-01-20 22:46:57,S
2014-01-21 09:59:26,R
2014-01-21 10:36:07,R
2014-01-21 10:41:58,S
2014-01-21 10:53:07,R
2014-01-21 15:04:19,R
2014-01-21 19:04:50,S
2014-01-22 03:12:55,S
2014-01-22 05:10:12,S
2014-01-22 23:34:57,S
2014-01-23 11:08:35,S
2014-01-24 08:25:20,S
2014-01-25 21:17:04,S
2014-01-25 23:20:26,S
2014-01-26 04:29:37,S
2014-01-26 13:58:48,S
2014-01-26 22:19:35,S
2014-01-27 08:54:00,S
2014-01-28 12:47:18,S
2014-01-29 23:28:44,S
2014-01-30 09:15:03,S
2014-01-31 00:59:49,S
2014-01-31 15:04:37,S
2014-02-03 03:11:53,S
2014-02-06 02:28:21,S
2014-02-06 15:07:37,S
2014-02-07 08:35:09,S
2014-02-07 08:39:30,R
2014-02-07 08:46:58,S
2014-02-07 22:00:55,S
2014-02-08 08:16:26,S
2014-02-08 19:49:09,S
2014-02-09 08:11:55,S
2014-02-09 11:37:30,S
2014-02-10 07:07:50,S
2014-02-10 15:17:51,S
2014-02-10 21:35:35,S
2014-02-14 04:09:30,S
2014-02-14 14:51:35,S
2014-02-16 12:46:23,S
2014-02-18 10:50:19,S
2014-02-18 15:06:18,S
2014-02-19 06:56:43,S
2014-02-19 23:10:22,S
2014-02-20 09:30:07,S
2014-02-20 15:09:12,S
2014-02-20 17:47:31,S
2014-02-22 14:49:45,S
2014-02-24 00:48:27,S
2014-02-24 00:49:20,S
2014-02-24 16:50:23,S
2014-02-25 00:53:18,S
2014-02-25 04:33:31,S
2014-02-25 10:03:22,R
2014-02-26 08:55:12,S
2014-02-27 01:20:21,S
2014-03-02 13:19:22,S
2014-03-03 13:02:57,S
2014-03-03 15:18:41,S
2014-03-04 15:09:14,S
2014-03-04 16:58:57,S
2014-03-05 09:36:53,S
2014-03-09 11:06:59,S
2014-03-11 17:14:05,S
2014-03-12 09:58:11,S
2014-03-12 11:28:21,S
2014-03-14 08:06:36,S
2014-03-16 03:09:00,S
2014-03-16 03:51:56,S
2014-03-18 08:14:48,S
2014-03-18 10:31:06,S
2014-03-19 08:22:29,S
2014-03-19 12:14:04,S
2014-03-20 09:57:43,S
2014-03-21 09:21:40,S
2014-03-25 02:49:19,S
2014-03-25 09:29:30,S
2014-03-25 15:08:07,S
2014-03-25 21:51:27,S
2014-03-26 13:02:16,S
2014-03-27 10:20:35,S
2014-03-27 13:02:03,S
2014-03-27 15:05:22,S
2014-03-27 17:53:39,S
2014-03-28 00:06:02,S
2014-03-28 04:18:43,S
2014-03-28 10:17:50,R
2014-03-28 18:21:59,S
2014-03-29 03:53:53,S
2014-04-01 07:52:49,S
2014-04-01 09:09:28,S
2014-04-02 05:53:55,S
2014-04-02 08:14:03,S
2014-04-02 20:22:36,S
2014-04-03 08:20:21,S
2014-04-03 10:34:06,S
2014-04-03 23:27:38,S
2014-04-04 20:11:43,S
2014-04-06 18:12:41,S
2014-04-06 21:09:37,S
2014-04-07 16:11:19,S
2014-04-07 19:27:17,S
2014-04-07 19:32:41,S
2014-04-07 21:11:10,S
2014-04-07 21:45:42,S
2014-04-08 00:25:40,S
2014-04-08 07:32:26,S
2014-04-08 12:57:09,S
2014-04-08 13:34:54,S
2014-04-08 14:07:13,S
2014-04-08 16:39:33,S
2014-04-08 19:58:15,S
2014-04-08 22:06:40,S
2014-04-08 23:12:18,S
2014-04-09 01:32:17,S
2014-04-09 10:26:32,S
2014-04-09 10:48:42,S
2014-04-09 17:57:43,S
2014-04-09 22:28:17,S
2014-04-10 05:55:18,S
2014-04-10 12:13:27,S
2014-04-10 17:36:47,S
2014-04-11 03:37:12,S
2014-04-11 07:48:33,S
2014-04-11 18:36:28,S
2014-04-11 20:25:39,S
2014-04-11 20:27:45,S
2014-04-13 15:42:04,S
2014-04-13 20:51:36,S
2014-04-14 00:23:44,S
2014-04-14 00:54:43,S
2014-04-14 08:44:30,S
2014-04-14 10:04:42,S
2014-04-14 14:09:08,S
2014-04-15 09:24:21,S
2014-04-15 22:49:57,S
2014-04-16 04:46:55,S
2014-04-16 18:06:27,S
2014-04-17 15:01:01,S
2014-04-18 00:49:47,S
2014-04-18 04:41:53,S
2014-04-18 18:13:30,S
2014-04-18 19:37:57,S
2014-04-19 00:44:52,S
2014-04-19 10:30:03,S
2014-04-19 10:35:25,S
2014-04-20 17:37:43,S
2014-04-21 01:17:16,S
2014-04-21 20:29:43,R
2014-04-22 09:00:00,S
2014-04-22 13:05:18,S
2014-04-22 16:56:33,S
2014-04-23 01:59:42,S
2014-04-23 09:43:25,S
2014-04-24 09:17:48,S
2014-04-24 14:10:20,S
2014-04-24 19:40:48,S
2014-04-25 07:36:07,S
2014-04-25 10:26:05,S
2014-04-25 12:25:55,S
2014-04-27 00:34:29,S
2014-04-27 03:11:29,S
2014-04-28 02:11:58,S
2014-04-28 02:56:28,S
2014-04-28 08:20:01,S
2014-04-28 10:03:58,S
2014-04-29 07:04:36,S
2014-04-29 09:23:08,S
2014-04-29 16:06:09,S
2014-04-29 22:27:23,S
2014-04-30 18:35:36,S
2014-05-01 06:56:20,S
2014-05-01 21:17:10,S
2014-05-02 04:23:52,S
2014-05-02 16:06:16,S
2014-05-03 02:55:49,S
2014-05-03 10:09:17,S
2014-05-03 11:10:54,S
2014-05-04 02:07:20,S
2014-05-04 16:30:43,S
2014-05-05 04:26:35,S
2014-05-05 07:25:08,S
2014-05-05 07:26:12,S
2014-05-05 23:15:23,S
2014-05-06 03:08:43,S
2014-05-06 12:21:45,S
2014-05-06 14:04:30,S
2014-05-09 19:54:50,S
2014-05-10 01:44:20,S
2014-05-11 05:24:24,S
2014-05-11 05:55:14,S
2014-05-11 15:46:11,S
2014-05-13 09:04:26,S
2014-05-13 09:29:28,S
2014-05-13 12:30:28,S
2014-05-16 00:34:08,S
2014-05-16 04:22:54,S
2014-05-16 08:33:29,S
2014-05-17 09:34:58,S
2014-05-17 16:47:40,R
2014-05-17 23:43:52,S
2014-05-18 06:42:46,S
2014-05-18 09:41:47,S
2014-05-18 15:47:10,S
2014-05-19 16:20:00,S
2014-05-20 10:06:14,S
2014-05-20 12:15:50,S
2014-05-22 09:22:04,S
2014-05-23 01:23:56,S
2014-05-23 01:40:12,S
2014-05-23 01:42:30,S
2014-05-23 13:50:23,R
2014-05-24 05:01:28,S
2014-05-24 12:06:37,S
2014-05-27 10:24:39,S
2014-05-27 12:17:21,S
2014-05-27 12:20:49,S
2014-05-27 12:30:32,S
2014-05-27 19:34:13,S
2014-05-27 20:14:57,S
2014-05-28 21:14:54,S
2014-05-28 22:51:33,S
2014-05-31 07:11:20,S
2014-05-31 07:28:35,R
2014-05-31 10:38:56,S
2014-05-31 22:09:34,S
2014-06-02 09:05:55,S
2014-06-02 15:12:58,S
2014-06-03 06:37:41,S
2014-06-03 09:12:08,S
2014-06-03 09:17:23,S
2014-06-03 11:59:32,S
2014-06-03 12:27:09,S
2014-06-04 00:26:26,S
2014-06-04 08:42:16,S
2014-06-04 15:51:04,S
2014-06-04 19:50:06,S
2014-06-04 21:43:40,S
2014-06-05 12:27:21,S
2014-06-05 17:06:25,S
2014-06-06 13:53:35,S
2014-06-06 18:01:27,S
2014-06-07 14:12:16,S
2014-06-09 22:48:01,S
2014-06-10 08:58:16,S
2014-06-10 11:37:54,S
2014-06-10 23:21:10,S
2014-06-11 03:58:08,S
2014-06-11 08:20:15,S
2014-06-11 10:03:24,S
2014-06-11 14:05:11,S
2014-06-11 22:14:23,S
2014-06-12 09:32:45,S
2014-06-12 11:47:04,S
2014-06-12 16:49:07,S
2014-06-12 22:08:55,S
2014-06-13 00:34:45,S
2014-06-14 21:12:19,S
2014-06-16 08:17:53,S
2014-06-17 00:01:03,S
2014-06-17 03:47:49,S
2014-06-17 04:58:50,S
2014-06-17 08:06:42,S
2014-06-17 12:12:32,S
2014-06-18 09:16:01,S
2014-06-19 01:36:06,S
2014-06-19 03:08:45,S
2014-06-19 09:35:04,S
2014-06-20 06:51:52,S
2014-06-20 14:53:22,S
2014-06-20 15:23:07,S
2014-06-21 10:19:16,S
2014-06-21 10:46:50,S
2014-06-22 01:32:32,S
2014-06-22 13:31:12,S
2014-06-24 09:28:23,S
2014-06-24 14:01:57,S
2014-06-25 08:30:32,S
2014-06-25 09:34:31,S
2014-06-25 14:10:46,S
2014-06-26 00:44:07,S
2014-06-26 03:49:38,S
2014-06-26 08:19:15,S
2014-07-01 09:21:11,S
2014-07-03 02:19:05,S
2014-07-03 03:37:35,S
2014-07-03 09:27:34,S
2014-07-04 09:56:05,S
2014-07-06 23:39:35,S
2014-07-08 09:01:21,S
2014-07-08 12:08:42,R
2014-07-09 01:58:26,S
2014-07-10 08:22:53,S
2014-07-10 10:56:20,R
2014-07-10 14:29:55,S
2014-07-10 17:05:01,S
2014-07-11 08:03:14,S
2014-07-11 11:56:12,S
2014-07-12 04:19:48,S
2014-07-13 06:47:17,R
2014-07-13 06:52:08,S
2014-07-13 10:06:04,S
2014-07-14 03:09:43,S
2014-07-14 08:57:53,S
2014-07-15 12:06:57,S
2014-07-16 08:19:54,S
2014-07-16 20:03:19,S
2014-07-16 23:03:43,S
2014-07-18 23:19:27,S
2014-07-21 10:33:21,S
2014-07-21 11:21:54,S
2014-07-21 14:58:49,S
2014-07-21 15:27:35,S
2014-07-21 16:48:06,S
2014-07-21 19:42:32,S
2014-07-22 12:05:06,S
2014-07-23 09:09:39,S
2014-07-24 08:17:40,R
2014-07-24 22:05:47,S
2014-07-25 09:20:30,S
2014-07-26 01:18:38,S
2014-07-27 04:38:41,S
2014-07-27 04:50:04,S
2014-07-28 00:11:07,S
2014-07-29 21:00:30,S
2014-07-29 23:52:56,S
2014-07-30 04:20:41,S
2014-07-30 09:45:13,S
2014-07-30 10:23:54,S
2014-07-30 12:37:35,S
2014-07-30 13:20:38,S
2014-07-31 04:30:59,S
2014-07-31 11:55:47,S
2014-07-31 12:02:25,S
2014-08-01 04:13:21,S
2014-08-01 19:20:30,S
2014-08-01 20:54:44,S
2014-08-02 19:14:10,S
2014-08-02 19:44:42,S
2014-08-04 09:07:10,S
2014-08-04 14:55:43,S
2014-08-04 17:15:19,S
2014-08-05 14:07:10,S
2014-08-07 03:42:56,S
2014-08-07 10:51:20,S
2014-08-07 11:32:28,S
2014-08-07 14:10:03,S
2014-08-08 01:03:17,S
2014-08-08 08:12:51,S
2014-08-10 00:20:28,S
2014-08-11 08:35:15,S
2014-08-11 21:20:05,S
2014-08-12 18:17:23,S
2014-08-13 07:20:44,S
2014-08-13 14:09:23,S
2014-08-14 00:09:34,S
2014-08-14 06:23:48,S
2014-08-14 09:37:03,S
2014-08-14 12:03:31,S
2014-08-14 12:08:13,S
2014-08-15 01:08:48,S
2014-08-15 03:39:32,S
2014-08-18 02:38:52,S
2014-08-20 11:50:36,S
2014-08-21 09:00:12,S
2014-08-22 07:18:20,S
2014-08-22 09:54:39,S
2014-08-24 01:34:56,R
2014-08-24 13:04:50,S
2014-08-25 08:39:54,S
2014-08-27 07:01:44,S
2014-08-28 02:34:51,S
2014-08-28 02:43:40,S
2014-08-28 06:58:54,S
2014-08-28 12:17:53,S
2014-08-28 17:50:15,S
2014-08-29 03:48:44,S
2014-08-29 07:36:31,S
2014-08-29 13:14:22,S
2014-08-29 13:56:22,S
2014-08-29 23:05:31,S
2014-08-30 09:52:34,S
2014-08-30 10:16:01,S
2014-09-01 00:21:54,S
2014-09-01 03:21:24,S
2014-09-01 07:17:27,S
2014-09-02 07:58:41,S
2014-09-02 12:16:57,S
2014-09-02 13:08:28,S
2014-09-03 09:05:57,S
2014-09-03 09:22:39,S
2014-09-03 14:07:56,R
2014-09-04 09:12:30,S
2014-09-05 07:48:53,S
2014-09-06 23:14:22,S
2014-09-07 10:46:01,S
2014-09-08 12:35:36,S
2014-09-08 18:17:50,S
2014-09-09 11:53:32,S
2014-09-11 03:40:51,S
2014-09-12 02:07:51,S
2014-09-12 21:26:54,S
2014-09-15 09:43:49,S
2014-09-15 10:06:27,S
2014-09-16 01:17:17,S
2014-09-16 06:38:54,S
2014-09-18 00:04:03,S
2014-09-18 15:53:11,S
2014-09-19 10:44:40,S
2014-09-20 00:21:42,R
2014-09-20 00:26:04,S
2014-09-20 01:13:46,S
2014-09-20 20:50:17,S
2014-09-21 12:19:28,S
2014-09-21 19:46:38,S
2014-09-22 11:59:42,S
2014-09-23 12:35:22,S
2014-09-24 03:42:30,S
2014-09-24 05:32:08,S
2014-09-25 04:51:11,S
2014-09-25 06:57:21,S
2014-09-25 12:10:59,S
2014-09-26 09:31:18,S
2014-09-26 17:39:03,S
2014-09-26 21:22:59,S
2014-09-27 01:15:26,S
2014-09-30 09:41:33,S
2014-10-01 09:37:07,S
2014-10-03 07:00:20,S
2014-10-03 23:17:00,S
2014-10-05 23:31:44,S
2014-10-07 07:23:17,S
2014-10-07 12:26:13,S
2014-10-07 21:01:55,S
2014-10-07 21:49:53,S
2014-10-09 14:04:10,S
2014-10-10 02:47:07,S
2014-10-10 08:56:50,S
2014-10-10 12:58:54,S
2014-10-11 22:42:25,S
2014-10-11 22:45:13,S
2014-10-12 12:32:17,S
2014-10-14 04:31:18,S
2014-10-14 13:55:03,S
2014-10-14 14:07:46,S
2014-10-14 14:52:16,S
2014-10-14 21:36:51,S
2014-10-14 23:32:05,S
2014-10-15 19:37:04,S
2014-10-17 05:07:53,S
2014-10-17 07:08:10,S
2014-10-17 10:42:57,S
2014-10-17 20:31:22,S
2014-10-18 09:27:55,S
2014-10-18 13:28:39,S
2014-10-18 14:27:54,S
2014-10-18 18:39:23,S
2014-10-19 04:44:47,S
2014-10-19 15:23:26,S
2014-10-20 00:18:59,S
2014-10-20 19:54:25,S
2014-10-20 22:45:20,S
2014-10-21 07:01:06,S
2014-10-21 12:03:01,S
2014-10-21 12:15:04,S
2014-10-21 22:11:10,S
2014-10-22 11:37:22,S
2014-10-22 12:38:20,S
2014-10-22 21:42:54,S
2014-10-23 13:57:45,S
2014-10-23 21:31:40,S
2014-10-24 11:11:06,S
2014-10-24 21:28:56,S
2014-10-24 21:52:44,S
2014-10-26 07:03:25,S
2014-10-26 16:25:55,S
2014-10-27 15:03:15,S
2014-10-28 00:22:55,S
2014-10-28 11:16:00,S
2014-10-28 13:34:59,S
2014-10-28 23:41:07,S
2014-10-29 06:05:29,S
2014-10-31 12:48:52,S
2014-10-31 17:58:15,S
2014-11-05 02:21:00,R
2014-11-05 02:45:07,S
2014-11-05 07:22:16,S
2014-11-05 11:45:48,R
2014-11-06 09:10:41,R
2014-11-06 17:38:18,S
2014-11-07 09:29:32,S
2014-11-08 05:49:07,R
2014-11-09 11:38:18,S
2014-11-11 14:20:28,S
2014-11-15 06:00:56,R
2014-11-15 14:51:42,S
2014-11-16 03:18:37,S
2014-11-17 04:28:06,R
2014-11-17 13:27:35,S
2014-11-18 13:14:47,S
2014-11-19 01:17:26,R
2014-11-19 05:05:31,S
2014-11-20 08:08:08,R
2014-11-20 15:07:20,S
2014-11-21 16:06:22,S
2014-11-23 20:52:35,S
2014-11-23 22:09:03,S
2014-11-24 09:12:51,S
2014-11-24 09:30:24,R
2014-11-24 13:06:46,S
2014-11-24 15:18:01,S
2014-11-24 17:49:16,S
2014-11-25 07:33:55,S
2014-11-25 08:58:54,S
2014-11-25 10:16:40,S
2014-11-27 08:20:55,S
2014-11-27 13:16:25,S
2014-11-28 19:44:17,S
2014-11-29 08:33:32,S
2014-11-29 11:30:42,R
2014-11-29 19:33:05,S
2014-11-29 20:40:04,S
2014-11-30 03:59:40,S
2014-11-30 09:35:12,S
2014-11-30 18:56:48,S
2014-12-02 11:39:31,S
2014-12-02 13:19:38,S
2014-12-02 15:08:32,S
2014-12-03 09:32:02,S
2014-12-03 09:40:11,S
2014-12-04 04:27:08,S
2014-12-04 04:47:05,S
2014-12-04 09:29:56,S
2014-12-04 13:05:30,S
2014-12-05 10:41:58,S
2014-12-05 11:23:24,S
2014-12-06 17:41:20,S
2014-12-08 12:18:00,S
2014-12-09 09:41:59,S
2014-12-10 02:20:51,S
2014-12-10 08:01:47,S
2014-12-10 11:21:12,S
2014-12-10 14:36:15,R
2014-12-10 17:14:57,S
2014-12-10 22:47:52,S
2014-12-11 00:38:20,S
2014-12-11 13:27:44,S
2014-12-11 23:48:09,R
2014-12-12 07:59:22,S
2014-12-12 13:05:53,S
2014-12-12 23:29:07,S
2014-12-13 06:51:42,S
2014-12-13 09:16:29,S
2014-12-13 13:28:15,S
2014-12-13 23:26:08,S
2014-12-14 13:35:18,S
2014-12-14 23:03:42,S
2014-12-14 23:42:59,S
2014-12-15 04:16:44,S
2014-12-15 06:59:06,S
2014-12-15 12:38:08,S
2014-12-15 22:30:54,S
2014-12-16 11:30:35,S
2014-12-16 22:20:07,S
2014-12-17 11:33:11,S
2014-12-17 21:36:49,S
2014-12-17 21:47:42,S
2014-12-17 23:04:53,S
2014-12-18 20:25:51,S
2014-12-19 00:10:13,S
2014-12-19 09:29:53,S
2014-12-19 09:40:48,S
2014-12-19 10:37:38,S
2014-12-19 11:06:11,S
2014-12-19 11:10:42,S
2014-12-20 03:38:47,S
2014-12-20 04:08:12,S
2014-12-20 05:39:20,S
2014-12-21 01:33:37,S
2014-12-21 18:15:04,S
2014-12-22 01:11:39,S
2014-12-22 09:01:16,S
2014-12-23 00:15:14,R
2014-12-23 11:11:19,S
2014-12-23 13:49:18,S
2014-12-23 23:40:55,S
2014-12-24 08:57:20,S
2014-12-24 20:47:29,S
2014-12-25 10:01:10,S
2014-12-25 19:32:34,S
2014-12-26 07:19:43,S
2014-12-26 11:56:00,S
2014-12-27 01:58:59,S
2014-12-28 01:41:29,S
2014-12-28 05:02:39,S
2014-12-28 06:01:42,S
2014-12-28 09:44:45,S
2014-12-29 01:52:59,S
2014-12-30 00:36:58,S
2014-12-30 03:46:27,S
2014-12-30 08:51:14,S
2014-12-30 23:39:23,S
2014-12-31 10:01:28,S
2014-12-31 13:46:56,S
2015-01-01 05:00:57,R
2015-01-01 09:45:22,S
2015-01-01 11:46:20,S
2015-01-01 15:07:33,S
2015-01-01 19:49:50,S
2015-01-01 21:41:18,S
2015-01-01 22:22:49,R
2015-01-02 11:17:12,R
2015-01-02 12:58:14,S
2015-01-03 06:11:06,S
2015-01-03 14:06:14,S
2015-01-04 07:21:30,S
2015-01-06 03:47:08,S
2015-01-06 03:57:48,S
2015-01-06 09:06:06,S
2015-01-06 09:18:04,S
2015-01-06 16:12:27,S
2015-01-07 03:41:47,S
2015-01-07 08:45:27,S
2015-01-07 12:58:59,S
2015-01-08 09:10:12,S
2015-01-08 10:56:55,S
2015-01-09 08:30:58,S
2015-01-09 09:19:28,S
2015-01-10 04:32:14,S
2015-01-10 17:22:27,S
2015-01-11 00:56:53,S
2015-01-11 20:34:44,S
2015-01-13 12:19:30,S
2015-01-13 12:48:03,S
2015-01-14 10:36:33,R
2015-01-14 11:01:54,S
2015-01-14 21:46:07,S
2015-01-17 09:17:35,S
2015-01-18 00:19:04,R
2015-01-18 06:11:29,S
2015-01-18 07:44:42,S
2015-01-18 08:20:28,S
2015-01-18 16:33:08,S
2015-01-19 08:32:40,S
2015-01-19 10:05:39,S
2015-01-20 01:22:19,S
2015-01-20 02:28:39,S
2015-01-21 05:57:52,S
2015-01-21 09:44:27,S
2015-01-22 14:06:33,S
2015-01-22 21:01:46,S
2015-01-23 04:06:46,R
2015-01-23 06:52:25,S
2015-01-26 21:24:40,S
2015-01-27 11:11:24,S
2015-01-28 00:05:56,R
2015-01-28 22:27:58,S
2015-01-29 22:07:09,S
2015-01-30 00:47:11,S
2015-01-30 08:50:33,S
2015-01-30 15:25:20,R
2015-01-31 10:20:51,S
2015-01-31 19:13:46,S
2015-01-31 21:54:36,S
2015-01-31 22:21:32,S
2015-02-01 17:54:36,S
2015-02-02 00:56:58,S
2015-02-02 04:05:53,S
2015-02-02 17:44:25,S
2015-02-02 20:21:24,S
2015-02-03 00:02:37,S
2015-02-03 01:58:56,S
2015-02-03 02:05:04,R
2015-02-03 04:00:25,S
2015-02-03 08:48:33,S
2015-02-03 08:55:29,R
2015-02-04 06:37:58,R
2015-02-04 11:33:48,S
2015-02-04 11:34:24,S
2015-02-04 11:38:15,S
2015-02-04 15:23:27,S
2015-02-05 10:07:54,R
2015-02-06 08:54:46,R
2015-02-07 01:58:58,R
2015-02-07 16:59:44,S
2015-02-07 18:46:40,R
2015-02-08 11:51:36,S
2015-02-09 05:18:23,S
2015-02-09 15:10:09,R
2015-02-10 05:39:28,R
2015-02-10 13:31:09,S
2015-02-11 17:05:36,S
2015-02-11 22:49:27,S
2015-02-12 09:23:22,S
2015-02-13 08:47:37,S
2015-02-13 14:50:23,S
2015-02-13 23:08:07,S
2015-02-14 23:37:41,S
2015-02-15 06:08:12,S
2015-02-15 20:54:43,S
2015-02-16 09:27:13,S
2015-02-17 13:11:37,R
2015-02-17 15:41:32,S
2015-02-17 19:44:00,R
2015-02-18 12:46:00,S
2015-02-19 11:03:16,S
2015-02-19 13:38:08,S
2015-02-21 01:11:04,R
2015-02-21 22:24:44,S
2015-02-22 00:39:05,S
2015-02-22 09:30:26,S
2015-02-22 20:28:23,S
2015-02-23 21:35:29,S
2015-02-24 10:26:30,S
2015-02-24 15:16:51,S
2015-02-24 15:17:29,S
2015-02-24 22:39:23,R
2015-02-25 10:03:47,R
2015-02-25 15:11:15,S
2015-02-26 06:32:53,S
2015-02-26 12:26:06,S
2015-02-27 07:32:39,S
2015-02-27 08:59:01,S
2015-02-27 09:12:44,S
2015-03-02 09:10:35,S
2015-03-03 08:55:18,S
2015-03-03 15:13:03,S
2015-03-03 23:53:01,S
2015-03-04 00:01:11,S
2015-03-04 11:07:27,S
2015-03-04 23:58:37,S
2015-03-05 19:36:34,S
2015-03-06 09:29:52,S
2015-03-08 03:22:43,S
2015-03-08 11:22:21,S
2015-03-10 09:37:42,S
2015-03-10 13:12:59,S
2015-03-11 09:10:35,S
2015-03-12 09:54:21,S
2015-03-12 17:13:44,S
2015-03-12 23:03:44,S
2015-03-13 00:00:35,S
2015-03-13 09:24:28,S
2015-03-13 14:31:55,S
2015-03-14 19:00:19,S
2015-03-15 12:43:18,S
2015-03-16 03:21:16,S
2015-03-16 15:12:09,S
2015-03-17 08:24:39,S
2015-03-17 08:52:12,S
2015-03-17 09:08:06,S
2015-03-17 10:28:35,R
2015-03-18 00:08:27,S
2015-03-18 10:56:02,S
2015-03-18 14:06:38,S
2015-03-19 01:18:49,S
2015-03-19 09:30:36,S
2015-03-19 11:01:36,S
2015-03-21 11:41:57,S
2015-03-21 15:34:57,S
2015-03-23 03:59:05,S
2015-03-24 09:52:44,S
2015-03-24 12:04:56,S
2015-03-24 13:27:02,S
2015-03-25 09:02:10,S
2015-03-26 09:36:50,S
2015-03-26 11:31:05,R
2015-03-27 09:18:58,S
2015-03-27 23:39:03,S
2015-03-28 02:45:47,S
2015-03-30 23:54:28,S
2015-03-31 09:26:21,S
2015-03-31 12:24:18,S
2015-04-01 04:59:18,S
2015-04-01 14:10:07,S
2015-04-01 22:12:23,S
2015-04-01 23:16:05,S
2015-04-02 21:36:32,S
2015-04-03 08:05:05,S
2015-04-03 08:10:10,S
2015-04-03 09:19:25,S
2015-04-05 02:37:17,S
2015-04-05 03:14:34,R
2015-04-05 14:21:30,S
2015-04-06 13:19:29,S
2015-04-07 08:46:00,S
2015-04-07 12:31:52,S
2015-04-08 14:11:06,S
2015-04-10 03:48:39,S
2015-04-10 13:33:05,S
2015-04-10 14:28:24,S
2015-04-10 17:58:56,S
2015-04-10 18:52:43,S
2015-04-11 01:24:13,S
2015-04-11 05:31:14,S
2015-04-11 05:33:32,S
2015-04-11 07:49:15,S
2015-04-11 12:47:49,R
2015-04-13 08:41:45,S
2015-04-13 09:13:39,S
2015-04-13 13:58:14,R
2015-04-14 06:54:46,R
2015-04-14 09:09:20,S
2015-04-16 09:39:44,S
2015-04-16 18:12:02,S
2015-04-16 20:03:22,S
2015-04-17 04:46:58,S
2015-04-17 07:06:56,S
2015-04-17 08:44:26,S
2015-04-17 18:43:42,S
2015-04-18 01:13:11,S
2015-04-19 08:49:17,S
2015-04-19 10:09:54,S
2015-04-22 03:36:35,S
2015-04-22 08:59:59,S
2015-04-23 07:34:36,S
2015-04-23 09:12:09,S
2015-04-23 09:53:03,S
2015-04-24 15:04:02,S
2015-04-25 06:21:52,S
2015-04-25 06:55:48,S
2015-04-25 12:38:09,R
